,(1) Excess return,(2) Volatility,(3) Excess return (ctrl),(4) Volatility (ctrl)
Constant,-0.0027,0.0603***,-0.0068,0.0333
,(-0.45),(6.14),(-0.25),(0.79)
MRI$_t$,0.0198,-0.0003,0.0175,-0.0318
,(1.43),(-0.01),(1.51),(-1.56)
$R_t$,0.0615,-0.3372**,0.0829,-0.3899***
,(0.75),(-2.36),(1.05),(-2.69)
$\sigma_t$,-0.0028,0.6280***,-0.0255,0.0653
,(-0.06),(7.50),(-0.58),(0.79)
D/P$_t$,---,---,0.2845,-1.2306
,,,(0.48),(-1.48)
CAPE$_t$,---,---,-0.0004,-0.0001
,,,(-0.86),(-0.11)
VIX$_t$,---,---,0.0006,0.0080***
,,,(1.17),(6.34)
VRP$_t$,---,---,0.0255,-0.0652
,,,(0.58),(-0.79)
MKT$_t$,---,---,-0.4692*,0.2610
,,,(-1.91),(0.55)
SMB$_t$,---,---,0.7099***,-0.4748
,,,(2.71),(-0.75)
HML$_t$,---,---,-0.5935,0.7436
,,,(-1.36),(0.85)
Adj. R2,0.17%,46.67%,4.11%,55.11%
N,407,407,407,407
