,(1) Excess return,(2) Volatility,(3) Excess return (ctrl),(4) Volatility (ctrl)
Constant,0.005162,0.111690*,-0.003229,0.127743**
,(1.61),(1.88),(-0.67),(2.38)
MRI$_t$,-0.004848,-0.048281,-0.005387,-0.010000
,(-1.49),(-0.97),(-1.48),(-0.20)
$R_t$,-0.007345,0.031414,-0.005533,-0.041295
,(-0.82),(0.16),(-0.62),(-0.29)
$\sigma_t$,-0.005201,0.592504***,-0.004139,0.118481**
,(-1.30),(4.98),(-1.41),(2.26)
E/P$_t$,---,---,0.050796,0.073878
,,,(0.61),(0.06)
B/M$_t$,---,---,0.005366,-0.147516
,,,(0.54),(-0.85)
QVIX$_t$,---,---,0.000034,0.006571***
,,,(0.40),(5.17)
VRP$_t$,---,---,0.004140,-0.118415**
,,,(1.41),(-2.26)
Adj. R2,0.069%,40.001%,0.308%,48.073%
N,2648,2634,2648,2634
