,(1) Excess return,(2) Volatility,(3) Excess return (ctrl),(4) Volatility (ctrl)
Constant,0.1810***,0.1488***,0.1636***,0.2387***
,(3.86),(3.76),(3.56),(5.60)
MRI$_t$,-0.1594***,-0.0830**,-0.1887***,-0.0520
,(-3.83),(-2.29),(-4.15),(-1.31)
$R_t$,-0.2095**,-0.0388,-0.2299**,-0.0320
,(-2.32),(-0.29),(-2.44),(-0.26)
$\sigma_t$,-0.2206***,0.6267***,-0.2043***,0.5193***
,(-2.67),(8.52),(-2.78),(7.31)
E/P$_t$,---,---,0.4372,0.5661
,,,(1.07),(1.53)
B/M$_t$,---,---,0.0058,-0.2271***
,,,(0.11),(-4.25)
Adj. R2,11.72%,50.22%,13.16%,54.57%
N,250,250,248,248
