trough_date,available_from,R,sigma,drawdown
2003-01-03,2003-03-14,-0.06449563629867516,0.15727573594174243,-0.24990025678201488
2003-11-18,2004-01-29,-0.03513338135365529,0.17740360214110087,-0.17937687126884927
2004-09-13,2004-11-18,-0.07795998124846237,0.152443370110929,-0.2957719217145435
2005-06-03,2005-08-03,-0.13166707887817608,0.1717466338411239,-0.2524948576827728
2007-06-04,2007-08-02,0.011787272408221972,0.47607915211307644,-0.1575845628745991
2007-11-28,2008-01-30,-0.16928261057585436,0.32110988293111625,-0.20901970019066896
2008-11-04,2009-01-06,-0.2353257581167062,0.45257922557896074,-0.675793850045999
2009-08-31,2009-11-06,-0.24215328887367982,0.4743698875794771,-0.25264157983307767
2010-07-05,2010-09-02,-0.08436491723156281,0.2552059642311838,-0.31513598878335125
2011-01-25,2011-04-01,-0.0709150145986901,0.25989478481521355,-0.17187562525256672
2012-01-05,2012-03-13,-0.09716881793141463,0.18299339861688987,-0.3249216866630229
2012-12-03,2013-02-05,-0.08580120982809758,0.14077502216919632,-0.22405362027362052
2013-06-27,2013-08-27,-0.16806110206728098,0.274026430724075,-0.22159350453411641
2014-03-20,2014-05-23,-0.09602513323769324,0.19081213623011858,-0.16769513311305684
2015-08-26,2015-11-04,-0.20608287438800366,0.548045915225858,-0.43484633484074997
2016-01-28,2016-04-06,-0.24140063133410872,0.47636290594538466,-0.2638760523358199
2018-10-18,2018-12-18,-0.05577176686892804,0.30165253297878897,-0.3064984618048082
2020-03-23,2020-05-27,-0.14921930164911823,0.3258353892012532,-0.1607946799469897
2021-03-25,2021-05-31,-0.09401647942609648,0.2762543730369768,-0.15175871973144717
2022-04-26,2022-06-30,-0.10989234837482875,0.27033054221353736,-0.29158616764763157
2022-10-31,2022-12-29,-0.09007160490049204,0.2091222709374953,-0.21959973576688763
2024-02-02,2024-04-15,-0.05002133220517635,0.1719534851756358,-0.24318807429525546
2025-04-07,2025-06-11,-0.09271335362365807,0.26728867313700605,-0.15663532965421834
