,(1) Excess return,(2) Volatility,(3) Excess return (ctrl),(4) Volatility (ctrl)
Constant,0.1072**,0.1090,0.0104,0.1621*
,(2.15),(0.98),(0.15),(1.79)
MRI$_t$,-0.0914*,-0.0451,-0.1020*,0.0090
,(-1.66),(-0.44),(-1.77),(0.10)
$R_t$,-0.1323,0.0808,-0.0655,0.0580
,(-0.81),(0.25),(-0.38),(0.22)
$\sigma_t$,-0.1512***,0.6237***,-0.0381,0.1569*
,(-2.83),(3.64),(-1.20),(1.82)
E/P$_t$,---,---,1.8897,0.3136
,,,(1.00),(0.21)
B/M$_t$,---,---,-0.0582,-0.2281
,,,(-0.27),(-1.28)
QVIX$_t$,---,---,-0.0015*,0.0058***
,,,(-1.86),(4.42)
VRP$_t$,---,---,0.0381,-0.1569*
,,,(1.20),(-1.82)
Adj. R2,3.41%,41.01%,6.66%,47.47%
N,130,130,130,130
