,(1) Excess return,(2) Volatility,(3) Excess return (ctrl),(4) Volatility (ctrl)
Constant,0.007513***,0.153062***,0.005277***,0.243881***
,(4.27),(4.92),(2.64),(6.96)
MRI$_t$,-0.007191***,-0.085915***,-0.008452***,-0.057927**
,(-4.36),(-2.99),(-4.71),(-2.03)
$R_t$,-0.007350,-0.064625,-0.007287,-0.071082
,(-1.60),(-0.68),(-1.60),(-0.81)
$\sigma_t$,-0.007183**,0.588422***,-0.004796,0.478025***
,(-2.35),(10.58),(-1.53),(8.62)
E/P$_t$,---,---,0.010522,0.576896
,,,(0.54),(1.60)
B/M$_t$,---,---,0.003180,-0.225945***
,,,(1.23),(-4.22)
Adj. R2,0.608%,48.270%,0.720%,52.901%
N,5100,5086,5039,5025
