,(1) Excess return,(2) Volatility,(3) Excess return (ctrl),(4) Volatility (ctrl)
Constant,0.000601,0.061342***,0.000177,0.041241
,(1.29),(8.00),(0.10),(1.38)
MRI$_t$,-0.000480,-0.000441,-0.000723,-0.006884
,(-0.58),(-0.03),(-0.86),(-0.42)
$R_t$,-0.012079**,-0.359435***,-0.007827,-0.221672**
,(-2.22),(-3.34),(-1.38),(-2.26)
$\sigma_t$,-0.000312,0.598157***,-0.003093,0.077896**
,(-0.13),(11.05),(-1.03),(2.05)
D/P$_t$,---,---,-0.037043,-0.790483
,,,(-0.86),(-1.15)
CAPE$_t$,---,---,0.000013,-0.000822
,,,(0.38),(-1.38)
VIX$_t$,---,---,0.000063*,0.007324***
,,,(1.68),(17.39)
VRP$_t$,---,---,0.003094,-0.077823**
,,,(1.03),(-2.05)
MKT$_t$,---,---,-0.068744**,-0.205429**
,,,(-2.24),(-2.03)
SMB$_t$,---,---,0.057978,-0.354251**
,,,(1.31),(-2.22)
HML$_t$,---,---,-0.060666**,0.040437
,,,(-2.23),(0.20)
Adj. R2,0.123%,47.584%,0.965%,54.790%
N,8564,8550,8564,8550
